latitude,longitude,k_value,description
-31.0747,133.4767,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Neoproterozoic"
-30.6197,132.8365,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Neoproterozoic"
-31.6459,135.9517,0.4,Lake
-30.7327,139.8064,0.4,Lake
-31.005,137.7545,0.4,Lake
-31.8678,136.5459,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesoproterozoic"
-32.9554,135.492,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesoproterozoic"
-31.4958,134.8727,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesoproterozoic"
-30.4576,124.791,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesoproterozoic"
-30.3085,134.2835,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic to Archean"
-18.9161,135.2252,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-29.0587,135.7357,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-27.726,140.5784,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-26.4698,127.0531,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-22.7983,139.1778,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-20.3756,125.9441,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-17.5133,133.8992,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-27.8504,138.6936,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-28.6082,130.3439,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-27.5791,129.5964,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-28.6911,131.9576,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-20.2813,127.0509,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-18.7743,140.3019,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-21.5653,135.2824,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-21.1856,138.222,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-22.2851,136.6957,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-27.9292,128.4287,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-24.2005,132.0537,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-20.3489,132.5915,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-20.1569,136.5062,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-19.9185,130.5731,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-19.2103,136.9289,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-19.3136,133.0626,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-19.5285,138.579,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-18.3494,136.7273,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-18.8838,131.4602,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-18.6017,135.5448,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
